其他农产品,电工器材,其他,电器类产品,成品油,塑料制品,家具及其零件,钢材,服装及衣着附件,自动数据处理设备及其零部件,粮食,集成电路,纺织品,汽车及零配件,手机
1977139000,1269928000,25825936000,2426033000,409750000,966229000,1019993000,943843000,5202572000,6677301000,145870000,0,2883502000,978117000,0
1425173000,1051249000,23043229000,2287386000,294995000,791743000,805707000,942162000,3923611000,6523296000,97885000,0,2248256000,841430000,0
2108643000,1546873000,31329286000,3632319000,642716000,1102122000,1077127000,1358787000,4568028000,8975361000,214422000,0,3148103000,1140634000,0
2130013000,1574404000,32236463000,3554366000,605729000,1192044000,1098612000,1306885000,5162109000,8310301000,128974000,0,3540095000,1243466000,0
1975688000,1442812000,30424599000,3087188000,669563000,1126180000,988619000,1358037000,5007695000,7494166000,167347000,0,3440625000,1239590000,0
2154234000,1598368000,34358885000,3241734000,528363000,1225306000,1056266000,1401384000,6589651000,8325809000,314869000,0,3704668000,1430373000,0
2089910000,1653773000,33956125000,3251939000,600576000,1198148000,991413000,1058538000,7459339000,8255480000,191455000,0,3506024000,1318598000,0
2060856000,1752795000,35302503000,3318380000,812964000,1267812000,1003979000,914026000,7798070000,8837943000,126817000,0,3771774000,1404138000,0
2086303000,1819706000,36252585000,3607363000,546308000,1278296000,1023381000,889845000,7742101000,9625795000,120596000,0,3766023000,1389607000,0
2126053000,1778930000,35550662000,3811121000,295631000,1234769000,1104459000,865600000,6439723000,9855330000,106128000,0,3469449000,1387379000,0
2448886000,2008428000,37473005000,4194010000,479771000,1301867000,1228309000,964054000,6056415000,10830348000,132535000,0,3513575000,1562939000,0
2633110000,2061841000,39617640000,4133559000,525105000,1368214000,1329162000,1074992000,6507387000,10940364000,168146000,0,3544085000,1492751000,0
2347115000,1657476000,33966387000,3407522000,449872000,1303659000,1366393000,1032940000,6514283000,7866795000,151495000,0,3537062000,1524405000,0
1440442000,1442263000,28679121000,2812827000,593061000,952952000,914027000,1066297000,4044430000,8262021000,213880000,0,2382437000,1302204000,0
2421443000,2050976000,41510871000,4030442000,570151000,1442619000,1477881000,1529264000,6279406000,10666480000,183845000,0,4060422000,1795262000,0
2364745000,2078765000,40861557000,3959090000,562961000,1484487000,1446743000,1483198000,6671342000,9767339000,103172000,0,4256967000,1787330000,0
2254557000,1950247000,38875976000,3599320000,630586000,1398123000,1316244000,1888416000,6878185000,8421447000,94651000,0,4084004000,1680234000,0
2354966000,2131088000,43046811000,3293737000,539617000,1460126000,1315491000,2474336000,8503192000,9951093000,89844000,0,4289335000,1830984000,0
2387099000,2106162000,42054586000,3185596000,592984000,1450574000,1231429000,2195263000,9311475000,9897389000,69973000,0,4006223000,1807586000,0
2562201000,2381034000,48257579000,3629159000,668370000,1596345000,1328584000,2493613000,10407415000,10791798000,62870000,0,4495293000,2051228000,0
2583071000,2444486000,49041201000,4031157000,547877000,1553213000,1309604000,2667549000,9644712000,11382550000,59788000,0,4271724000,2039544000,0
2634154000,2372175000,46789891000,4365390000,529689000,1451046000,1365614000,2834602000,8052685000,11622249000,91753000,0,4077106000,1910744000,0
3047229000,2580056000,49742510000,4753794000,747410000,1502320000,1528936000,3048685000,8376332000,14115319000,144184000,0,4134493000,2084778000,0
2993935000,2552774000,49033816000,3815458000,615608000,1524589000,1596681000,3515488000,8772651000,12891463000,195245000,0,4369781000,2122709000,0
2802287000,2653849000,44469275000,4722505000,507394000,1563504000,1760650000,2891589000,7973573000,9000334000,266970000,1801466000,3928608000,2233846000,0
2443190000,2405369000,41882546000,4801008000,736687000,1400594000,1579308000,2941623000,7268380000,8783971000,260053000,1588026000,3747716000,2188128000,0
2288435000,2485009000,42864858000,5593387000,771038000,1275402000,1305932000,3388840000,4567574000,11332952000,334271000,1928083000,3224609000,2035134000,0
2810819000,2957003000,50329521000,6225209000,771517000,1699893000,1700657000,4578302000,7825550000,9212824000,185152000,1817307000,4763916000,2518878000,0
2672798000,2884521000,49069310000,5896773000,710198000,1651078000,1609968000,4182507000,8345556000,7957099000,82372000,1863815000,4580263000,2512031000,0
2776550000,3048128000,52474869000,5830593000,869969000,1783244000,1623521000,4395038000,11453432000,9732035000,120790000,1924002000,4507464000,2703700000,0
2764058000,3331037000,55411795000,6020193000,649914000,1753198000,1713778000,4299813000,11959578000,9749904000,151841000,1927421000,5118728000,2871326000,0
