date,commodity,value
2005-01-01,OAP,1977139000.0
2005-02-01,OAP,1425173000.0
2005-03-01,OAP,2108643000.0
2005-04-01,OAP,2130013000.0
2005-05-01,OAP,1975688000.0
2005-06-01,OAP,2154234000.0
2005-07-01,OAP,2089910000.0
2005-08-01,OAP,2060856000.0
2005-09-01,OAP,2086303000.0
2005-10-01,OAP,2126053000.0
2005-11-01,OAP,2448886000.0
2005-12-01,OAP,2633110000.0
2006-01-01,OAP,2347115000.0
2006-02-01,OAP,1440442000.0
2006-03-01,OAP,2421443000.0
2006-04-01,OAP,2364745000.0
2006-05-01,OAP,2254557000.0
2006-06-01,OAP,2354966000.0
2006-07-01,OAP,2387099000.0
2006-08-01,OAP,2562201000.0
2006-09-01,OAP,2583071000.0
2006-10-01,OAP,2634154000.0
2006-11-01,OAP,3047229000.0
2006-12-01,OAP,2993935000.0
2007-01-01,OAP,2802287000.0
2007-02-01,OAP,2443190000.0
2007-03-01,OAP,2288435000.0
2007-04-01,OAP,2810819000.0
2007-05-01,OAP,2672798000.0
2007-06-01,OAP,2776550000.0
2007-07-01,OAP,2764058000.0
2007-08-01,OAP,2717089000.0
2007-09-01,OAP,2564725000.0
2007-10-01,OAP,2731648000.0
2007-11-01,OAP,3459803000.0
2007-12-01,OAP,3751484000.0
2008-01-01,OAP,3446806000.0
2008-02-01,OAP,2395597000.0
2008-03-01,OAP,2806580000.0
2008-04-01,OAP,3297580000.0
2008-05-01,OAP,3259352000.0
2008-06-01,OAP,3161237000.0
2008-07-01,OAP,3513554000.0
2008-08-01,OAP,3186814000.0
2008-09-01,OAP,3297700000.0
2008-10-01,OAP,3189014000.0
2008-11-01,OAP,3355024000.0
2008-12-01,OAP,3643234000.0
2009-01-01,OAP,3009380000.0
2009-02-01,OAP,2018122000.0
2009-03-01,OAP,2886944000.0
2009-04-01,OAP,2976557000.0
2009-05-01,OAP,2915108000.0
2009-06-01,OAP,3087658000.0
2009-07-01,OAP,3152119000.0
2009-08-01,OAP,3008424000.0
2009-09-01,OAP,3507438000.0
2009-10-01,OAP,3184546000.0
2009-11-01,OAP,3577293000.0
2009-12-01,OAP,4249978000.0
2010-01-01,OAP,3667818606.0
2010-02-01,OAP,2697518241.0
2010-03-01,OAP,3381736417.0
2010-04-01,OAP,3578928338.0
2010-05-01,OAP,3768639993.0
2010-06-01,OAP,3771684940.0
2010-07-01,OAP,4026309364.0
2010-08-01,OAP,3939608846.0
2010-09-01,OAP,4047875043.0
2010-10-01,OAP,3900514008.0
2010-11-01,OAP,5061776674.0
2010-12-01,OAP,5429081454.0
2011-01-01,OAP,5464731129.0
2011-02-01,OAP,2737190572.0
2011-03-01,OAP,4851833286.0
2011-04-01,OAP,4930452703.0
2011-05-01,OAP,4722885701.0
2011-06-01,OAP,4504875438.0
2011-07-01,OAP,4857170108.0
2011-08-01,OAP,4799304391.0
2011-09-01,OAP,4836096422.0
2011-10-01,OAP,4692848916.0
2011-11-01,OAP,5634917135.0
2011-12-01,OAP,6197819492.0
2012-01-01,OAP,5215939336.0
2012-02-01,OAP,3583272313.0
2012-03-01,OAP,4999541693.0
2012-04-01,OAP,4778895380.0
2012-05-01,OAP,5024134782.0
2012-06-01,OAP,4848023689.0
2012-07-01,OAP,4779430398.0
2012-08-01,OAP,4902162264.0
