date,Agricultural Products,Bags and Similar Containers,Ceramic Products Export,Footwear Export,"Pulp, Paper and Paper Products Export",Equipment and Electromechanical Exports,Chemicals Export,Measuring Instruments Export,Apparel and Clothing Accessories,Steel Products,Furniture and Parts,Electrical Equipment,Electrical Appliances,Automobiles and Spare Parts,Others,Refined Oil Products,Plastic Products,Textiles
01/2005,2125030000,516481000,362154000,1466848000,243487000,7110000000.0,686969000,338000000,5202572000,943843000,1019993000,1269928000,2426033000,978117000,25037627000.0,409750000,966229000,2883502000
02/2005,1524558000,407128000,272404000,1141478000,194868000,6900000000.0,587877000,340000000,3923611000,942162000,805707000,1051249000,2287386000,841430000,22358396000.0,294995000,791743000,2248256000
03/2005,2324183000,528311000,348525000,1355621000,296574000,9560000000.0,793092000,419000000,4568028000,1358787000,1077127000,1546873000,3632319000,1140634000,30941647000.0,642716000,1102122000,3148103000
04/2005,2260100000,643213000,392237000,1424051000,320967000,8860000000.0,787009000,462000000,5162109000,1306885000,1098612000,1574404000,3554366000,1243466000,32029323000.0,605729000,1192044000,3540095000
05/2005,2149429000,656754000,393655000,1390039000,323180000,8010000000.0,815582000,408000000,5007695000,1358037000,988619000,1442812000,3087188000,1239590000,30256090000.0,669563000,1126180000,3440625000
06/2005,2473752000,692939000,446048000,1690538000,366069000,8930000000.0,814362000,491000000,6589651000,1401384000,1056266000,1598368000,3241734000,1430373000,33759501000.0,528363000,1225306000,3704668000
07/2005,2289887000,644042000,482161000,1778498000,386727000,8840000000.0,769414000,464000000,7459339000,1058538000,991413000,1653773000,3251939000,1318598000,33189186000.0,600576000,1198148000,3506024000
08/2005,2189016000,657695000,492943000,1820059000,378189000,9490000000.0,740691000,506000000,7798070000,914026000,1003979000,1752795000,3318380000,1404138000,34920625000.0,812964000,1267812000,3771774000
09/2005,2211543000,649364000,468905000,1664790000,375539000,10300000000.0,728480000,548000000,7742101000,889845000,1023381000,1819706000,3607363000,1389607000,35752951000.0,546308000,1278296000,3766023000
10/2005,2232240000,632459000,453568000,1410648000,355291000,10500000000.0,705532000,514000000,6439723000,865600000,1104459000,1778930000,3811121000,1387379000,34785986000.0,295631000,1234769000,3469449000
11/2005,2581809000,621632000,440437000,1469299000,363893000,11600000000.0,813531000,538000000,6056415000,964054000,1228309000,2008428000,4194010000,1562939000,36569961000.0,479771000,1301867000,3513575000
12/2005,2810564000,660481000,484268000,1821851000,359418000,11700000000.0,919019000,539000000,6507387000,1074992000,1329162000,2061841000,4133559000,1492751000,38281474000.0,525105000,1368214000,3544085000
01/2006,2502736000,665394000,460710000,1870553000,337142000,8500000000.0,827369000,474000000,6514283000,1032940000,1366393000,1657476000,3407522000,1524405000,32831892000.0,449872000,1303659000,3537062000
02/2006,1656556000,401686000,268402000,1153828000,266086000,8890000000.0,734670000,418000000,4044430000,1066297000,914027000,1442263000,2812827000,1302204000,28062373000.0,593061000,952952000,2382437000
03/2006,2604899000,684235000,443754000,1687792000,409532000,11500000000.0,1013429000,561000000,6279406000,1529264000,1477881000,2050976000,4030442000,1795262000,40840845000.0,570151000,1442619000,4060422000
04/2006,2487569000,763377000,482347000,1703957000,429075000,10500000000.0,938147000,580000000,6671342000,1483198000,1446743000,2078765000,3959090000,1787330000,40449098000.0,562961000,1484487000,4256967000
05/2006,2361565000,767808000,472962000,1598336000,422875000,9170000000.0,907239000,567000000,6878185000,1888416000,1316244000,1950247000,3599320000,1680234000,38461052000.0,630586000,1398123000,4084004000
06/2006,2442233000,773219000,537378000,1835269000,462761000,10800000000.0,955531000,630000000,8503192000,2474336000,1315491000,2131088000,3293737000,1830984000,42255533000.0,539617000,1460126000,4289335000
07/2006,2460544000,759929000,549292000,1945833000,477467000,10700000000.0,929227000,585000000,9311475000,2195263000,1231429000,2106162000,3185596000,1807586000,40986414000.0,592984000,1450574000,4006223000
08/2006,2628378000,812770000,634681000,2082320000,531408000,11700000000.0,1091495000,666000000,10407415000,2493613000,1328584000,2381034000,3629159000,2051228000,47157925000.0,668370000,1596345000,4495293000
